Room	 Module	 Group	Studnets	 Capacity	Time_Slot	Day
0484 CR1- 0482 CR3- 0480 CR7	KSOFG72 MOBILE APPLICATIONS DEVELOPMENT Assessment	All Groups	33	16	11:00	Mon
996	KSOFG72/KBDIG73 APPLD NETWORKING TECH 2/L	All Groups	22-33- 36	90	12:00	Mon
0436 CR5 Projects/Media	KSOFG72 DATA STRUCTURES & ALGORITHMS Gr C	C	22-33- 36	20	14:00	Mon
0436 CR5 Projects/Media	KSOFG72 ADV. PROCEDURAL PROGRAMMING Gr C/P	C	22-33- 36	20	09:00	Mon
223	KSOFG72 MOBILE APPLICATIONS DEVELOPMENT/L	All Groups	22-32- 36	60	11:00	Mon
364	KSOFG72 DATA STRUCTURES & ALGORITHMS/L	All Groups	22-33- 36	50	15:00	Mon
0480 CR7	KSOFG72 ACCTG C/P	C	22-33- 36	20	10:00	Tue
940	KSOFG72 PROJ MGT & COLLABORATIVE COMM/L	All Groups	22-33- 36	70	11:00	Tue
939	KSOFG72/KBDIG73 APPLD NETWORKING TECH 2/L	All Groups	22-33- 36	90	12:00	Tue
0480 CR7	KSOFG72 MOBILE APPLICATIONS DEVELOPMENT Gr B/P	B	22-33- 36	20	16:00	Tue
0482 CR3- 0481 CR4- 0480 CR7- 0436 CR5 Projects/Media	KSOFG2/KBDIG3 Assessment	All Groups	33	0	09:00	Wed
0436 CR5 Projects/Media	KSOFG72 PROJ MGT & COLLABORATIVE COMM Gr C/P	C	22-33- 36	20	10:00	Wed
0481 CR4	KSOFG72 PROJ MGT & COLLABORATIVE COMM Gr B/P	B	22-33- 36	20	11:00	Wed
0470 Computing Practical Lab	KSOFG72 MOBILE APPLICATIONS DEVELOPMENT Gr A/P	A	24-33- 36	16	09:00	Wed
0481 CR4	KSOFG72 DATABASE MGMT Gr B/P	B	22-33- 36	20	11:00	Wed
0484 CR1	KSOFG72 ACCTG B/P	All Groups	22-33- 36	20	13:00	Wed
0484 CR1	KSOFG72 DATA STRUCTURES & ALGORITHMS Gr A/P	A	22-33- 36	20	14:00	Wed
0484 CR1	KSOFG72 ADV. PROCEDURAL PROGRAMMING Gr B/P	B	22-33- 36	20	15:00	Wed
0482 CR3	KSOFG72 APPLD NETWORKING TECH 2 Gr A/P	A	22-33- 36	20	09:00	Wed
0470 Computing Practical Lab	KSOFG72 MOBILE APPLICATIONS DEVELOPMENT Gr C/P	C	22-33- 36	20	13:00	Wed
940	KSOFG72 DATA STRUCTURES & ALGORITHMS/L	All Groups	22-33- 36	50	09:00	Thur
996	KSOFG72 ADV. PROCEDURAL PROGRAMMING/L	All Groups	22-33- 36	50	10:00	Thur
940	KBDIG72/KSOFG72 ACCTG/L	All Groups	22-33- 36	90	12:00	Thur
938	KSOFG72/KBDIG72 ACCTG/L	All Groups	22-33- 36	50	13:00	Thur
223	KSOFG72 MOBILE APPLICATIONS DEVELOPMENT/L	All Groups	22-33- 36	60	15:00	Thur
0484 CR1	KSOFG72 ADV. PROCEDURAL PROGRAMMING Gr A/P/01	A	22-33	20	16:00	Thur
0436 CR5 Projects/Media	KSOFG72 DATABASE MGMT Gr C/P	C	22-33- 36	20	09:00	Fri
996	KBDIG72/KSOFG72 DATABASE MGMT/L	All Groups	22-33- 36	90	11:00	Fri
0482 CR3	KSOFG73 APPLD NETWORKING TECH 2 Gr B/P	B	22-33- 36	20	11:00	Mon
PF05	KSOFG73 GRAPH THEORY Gr A/P	A	27-33- 36	16	14:00	Mon
0481 CR4	KSOFG73 Software Testing Gr A/P	A	22-33- 36	16	16:00	Mon
994	KSOFG73/KBDIG73 Database Mgmt Sys/L	All Groups	22-33- 36	90	10:00	Mon
223	KSOFG73 MOBILE APPS/L	All Groups	22-33- 36	60	12:00	Mon
0436 CR5 Projects/Media	KSOFG73 SERVER SIDE RAD Gr C/P	C	22-33- 36	20	16:00	Mon
0482 CR3	KSOFG73 Database Mgmt Systems Gr C/P	C	30-33- 36	16	09:00	Tue
0436 CR5 Projects/Media	KSOFG73 Software Testing Gr C/P	C	22-33- 36	20	11:00	Tue
0470 Computing Practical Lab	KSOFG73 MOBILE APPS Gr A/P	A	22-33- 36	23	11:00	Tue
0436 CR5 Projects/Media	KSOFG73 Software Testing Gr B/P	B	22-33- 36	16	14:00	Tue
0436 CR5 Projects/Media	KSOFG73 SERVER SIDE RAD Gr B/P	B	22-33- 36	20	16:00	Tue
0481 CR4	KSOFG73 Database Mgmt Systems Gr A/P	A	22-33- 36	20	09:00	Tue
379	KSOFG73 GRAPH THEORY Gr B/P	B	22-33- 36	16	12:00	Tue
162	KSOFG73 GRAPH THEORY Gr C/P	C	22-33- 36	16	09:00	Wed
938	KSOFG73 GRAPH THEORY/L	All Groups	22-33- 36	60	10:00	Wed
208	KSOFG73 PROFESSIONAL PRACTICE IN IT/L	All Groups	22-33- 36	65	11:00	Wed
997	KSOFG73 SERVER SIDE RAD/L	All Groups	22-33- 36	60	13:00	Wed
994	KSOFG73 Software Testing/L	All Groups	22-33- 36	90	14:00	Wed
939	KSOFG73/KCDMG84 Software Testing/lL	All Groups	22-33- 36	90	15:00	Wed
995	KSOFG73/KBDIG73 Database Mgmt Sys/L	All Groups	22-33- 36	90	16:00	Wed
PF18	KSOFG73 MOBILE APPS Gr B/P	B	22-33- 36	23	09:00	Thur
PF18	KSOFG73 MOBILE APPS Gr C/P	C	22-33- 36	23	11:00	Thur
0436 CR5 Projects/Media	KSOFG73 SERVER SIDE RAD Gr A/P	A	22-33- 36	20	13:00	Thur
0483 CR2	KSOFG73 Database Mgmt Systems Gr C/P	C	22-29	20	13:00	Thur
0482 CR3	KSOFG73 Database Mgmt Systems Gr B/P	B	22-33- 36	20	09:00	Fri
208	KSOFG73 GRAPH THEORY/L	All Groups	22-33- 36	60	11:00	Fri
995	KSOFGH84 Artificial Intelligence/L	All Groups	22-33- 36	38	10:00	Mon
0470 Computing Practical Lab	KSOFGH84 Artificial Intelligence/P	All Groups	22-33- 36	10	11:00	Mon
379	KSOFG84 Theory of Algorithms/L	All Groups	22-33- 36	10	13:00	Mon
0470 Computing Practical Lab	KSOFG84 GESTURE BASED UI DEVELOPMENT/L	All Groups	22-33- 36	35	10:00	Tue
PF18	KSOFG84 Theory of Algorithms Gr A/P	A	28-33- 36	15	12:00	Tue
379	KSOFG84 Theory of Algorithms Gr B/P	B	22-33- 36	7	13:00	Tue
PF06	KSOFGH84 Applied Project & Minor Diss/L	All Groups	22-33- 36	10	10:00	Wed
1033	KSOFG84 Theory of Algorithms/L	All Groups	22-33- 36	4	12:00	Wed
0470 Computing Practical Lab	KSOFGH84 Artificial Intelligence/P	All Groups	22-33- 36	5	13:00	Wed
376	KSOFG84 Theory of Algorithms Gr A/P	A	22-27	20	09:00	Thur
0482 CR3	KSOFG84 Software Eng Gr A/P	A	22-23	20	10:00	Thur
1031	KSOFGH84 Software Eng/L	All Groups	22-33- 36	10	11:00	Thur
0481 CR4	KSOFG84 Software Eng Gr B/P	B	22-23	20	12:00	Thur
PF18	KSOFG84 Software Eng Gr A/P	A	24-33- 36	25	13:00	Thur
PF18	KSOFG84 Software Eng Gr B/P	B	24-33- 36	25	14:00	Thur
PF18	KSOFG84 GESTURE BASED UI DEVELOPMENT Gr A/P	A	22-33- 36	20	09:00	Fri
PF18	KSOFG84 GESTURE BASED UI DEVELOPMENT Gr B/P	B	22-33- 36	18	11:00	Fri
